,Time,Date,Exchange,Symbol,Trade_Volume,Trade_Price,Sale_Condition,Source_of_Trade,Trade_Stop_Stock_Indicator,Trade_Correction_Indicator,Sequence_Number,Trade_Id,Trade_Reporting_Facility,Participant_Timestamp,Trade_Reporting_Facility_TRF_Timestamp,Trade_Through_Exempt_Indicator
640,2023-02-03 08:32:23.468791,2023-02-03,U,GOOG,100,104.0,@ T ,N,,0,170756,132, ,83223468603927,,0
641,2023-02-03 08:32:23.469105,2023-02-03,U,GOOG,34,104.0,@FTI,N,,0,170766,133, ,83223468912619,,1
642,2023-02-03 08:32:23.473677,2023-02-03,U,GOOG,100,104.0,@FT ,N,,0,170775,134, ,83223473486180,,1
643,2023-02-03 08:32:23.477607,2023-02-03,U,GOOG,100,104.0,@FT ,N,,0,170782,135, ,83223477420001,,1
644,2023-02-03 08:32:23.478768,2023-02-03,U,GOOG,100,104.0,@ T ,N,,0,170798,136, ,83223478578348,,0
645,2023-02-03 08:32:23.479049,2023-02-03,U,GOOG,100,104.0,@FT ,N,,0,170807,137, ,83223478861919,,1
646,2023-02-03 08:32:23.479239,2023-02-03,U,GOOG,100,104.0,@FT ,N,,0,170809,138, ,83223479052313,,1
647,2023-02-03 08:32:24.478659,2023-02-03,U,GOOG,26,103.99,@FTI,N,,0,170823,139, ,83224478453693,,1
648,2023-02-03 08:32:24.826926,2023-02-03,U,GOOG,26,104.0,@FTI,N,,0,170846,140, ,83224826727441,,1
649,2023-02-03 08:32:59.107314,2023-02-03,U,GOOG,5,104.15,@FTI,N,,0,171745,141, ,83259107109337,,1
402,2023-02-03 08:39:10.024095,2023-02-03,J,GOOG,9,104.3,@FTI,N,,0,188687,75, ,83910023888000,,1
403,2023-02-03 08:39:21.417447,2023-02-03,J,GOOG,14,104.27,@ TI,N,,0,189318,76, ,83921417237000,,0
404,2023-02-03 08:40:07.375286,2023-02-03,J,GOOG,50,104.33,@ TI,N,,0,191240,77, ,84007375051000,,0
405,2023-02-03 08:40:07.375293,2023-02-03,J,GOOG,10,104.33,@ TI,N,,0,191241,78, ,84007375051000,,0
406,2023-02-03 08:40:07.375297,2023-02-03,J,GOOG,34,104.32,@ TI,N,,0,191242,79, ,84007375051000,,0
821,2023-02-03 08:48:25.794363,2023-02-03,J,GOOG,5,103.7,@FTI,N,,0,206674,80, ,84825794126000,,1
822,2023-02-03 08:48:25.795124,2023-02-03,J,GOOG,9,103.7,@ TI,N,,0,206678,81, ,84825794926000,,0
823,2023-02-03 08:48:35.230511,2023-02-03,J,GOOG,22,103.86,@FTI,N,,0,207182,82, ,84835230299000,,1
824,2023-02-03 08:48:35.233372,2023-02-03,J,GOOG,49,104.01,@FTI,N,,0,207376,83, ,84835233177000,,1
825,2023-02-03 08:48:35.233793,2023-02-03,J,GOOG,10,103.98,@FTI,N,,0,207398,84, ,84835233601000,,1
826,2023-02-03 08:48:35.233812,2023-02-03,J,GOOG,10,103.98,@FTI,N,,0,207400,85, ,84835233622000,,1
827,2023-02-03 08:48:35.233853,2023-02-03,J,GOOG,50,103.98,@FTI,N,,0,207407,86, ,84835233657000,,1
828,2023-02-03 08:48:35.233866,2023-02-03,J,GOOG,10,103.98,@FTI,N,,0,207408,87, ,84835233668000,,1
829,2023-02-03 08:48:35.233871,2023-02-03,J,GOOG,10,103.98,@FTI,N,,0,207410,88, ,84835233676000,,1
830,2023-02-03 08:48:35.233903,2023-02-03,J,GOOG,10,103.98,@FTI,N,,0,207411,89, ,84835233708000,,1
831,2023-02-03 08:48:35.233915,2023-02-03,J,GOOG,100,103.98,@FT ,N,,0,207412,90, ,84835233708000,,1
832,2023-02-03 08:48:35.235097,2023-02-03,J,GOOG,10,103.92,@FTI,N,,0,207465,91, ,84835234893000,,1
833,2023-02-03 08:48:35.235121,2023-02-03,J,GOOG,10,103.92,@FTI,N,,0,207466,92, ,84835234929000,,1
834,2023-02-03 08:48:35.236444,2023-02-03,J,GOOG,3,103.86,@FTI,N,,0,207516,93, ,84835236250000,,1
835,2023-02-03 08:48:38.686043,2023-02-03,J,GOOG,22,104.11,@FTI,N,,0,208126,94, ,84838685844000,,1
836,2023-02-03 08:48:39.450508,2023-02-03,J,GOOG,49,104.11,@FTI,N,,0,208299,95, ,84839450302000,,1
837,2023-02-03 08:51:18.728595,2023-02-03,J,GOOG,5,103.77,@ TI,N,,0,212762,96, ,85118728336000,,0
838,2023-02-03 09:01:34.822317,2023-02-03,J,GOOG,9,103.76,@ TI,N,,0,229710,97, ,90134822085000,,0
